snapshot_date,product_id,store_id,stock_quantity,reorder_level,stock_status
2025-01-04,PRD0223,ST006,41,24,In Stock
2025-11-23,PRD0060,ST003,61,43,In Stock
2025-09-03,PRD0145,ST003,59,41,In Stock
2025-05-06,PRD0004,ST003,58,32,In Stock
2025-11-12,PRD0215,ST002,241,41,In Stock
2025-07-31,PRD0121,ST001,8,47,Low Stock
2025-09-08,PRD0196,ST002,238,50,In Stock
2025-04-06,PRD0167,ST002,117,25,In Stock
2025-11-07,PRD0226,ST004,124,26,In Stock
2025-10-09,PRD0281,ST001,59,47,In Stock
2025-02-18,PRD0141,ST002,223,10,In Stock
2025-04-29,PRD0256,ST003,198,35,In Stock
2025-11-12,PRD0159,ST001,203,29,In Stock
2025-05-08,PRD0036,ST003,7,16,Low Stock
2025-05-01,PRD0302,ST005,143,40,In Stock
2025-12-24,PRD0288,ST003,41,49,Low Stock
2025-07-08,PRD0124,ST006,199,22,In Stock
2025-08-25,PRD0053,ST005,237,47,In Stock
2025-05-11,PRD0096,ST005,226,28,In Stock
2025-01-07,PRD0275,ST006,160,44,In Stock
2025-09-17,PRD0188,ST004,172,24,In Stock
2025-09-14,PRD0005,ST002,168,44,In Stock
2025-06-21,PRD0077,ST001,38,13,In Stock
2025-01-26,PRD0147,ST006,23,35,Low Stock
2025-05-17,PRD0284,ST006,92,15,In Stock
2025-07-08,PRD0181,ST005,219,35,In Stock
2025-05-14,PRD0277,ST004,211,12,In Stock
2025-04-07,PRD0070,ST001,132,39,In Stock
2025-01-08,PRD0123,ST005,93,12,In Stock
2025-12-08,PRD0281,ST005,140,43,In Stock
2025-05-24,PRD0085,ST002,170,33,In Stock
2025-11-13,PRD0136,ST001,34,14,In Stock
2025-07-30,PRD0295,ST005,177,12,In Stock
2025-08-06,PRD0283,ST001,58,31,In Stock
2025-11-18,PRD0200,ST002,175,34,In Stock
2025-03-16,PRD0074,ST003,175,28,In Stock
2025-08-10,PRD0095,ST004,85,33,In Stock
2025-07-30,PRD0063,ST003,170,41,In Stock
2025-12-03,PRD0231,ST002,209,24,In Stock
2025-06-23,PRD0177,ST001,249,40,In Stock
2025-03-09,PRD0237,ST003,243,45,In Stock
2025-06-01,PRD0234,ST005,174,21,In Stock
2025-08-28,PRD0022,ST003,148,48,In Stock
2025-05-16,PRD0143,ST004,25,38,Low Stock
2025-04-25,PRD0162,ST002,102,13,In Stock
2025-08-03,PRD0257,ST003,241,28,In Stock
2025-09-13,PRD0002,ST004,185,41,In Stock
2025-06-07,PRD0003,ST005,189,14,In Stock
2025-12-17,PRD0081,ST004,7,19,Low Stock
2025-11-22,PRD0260,ST004,234,50,In Stock
2025-01-28,PRD0012,ST006,249,38,In Stock
2025-02-03,PRD0056,ST001,109,28,In Stock
2025-09-18,PRD0028,ST002,198,22,In Stock
2025-03-16,PRD0183,ST006,193,42,In Stock
2025-07-23,PRD0289,ST005,206,50,In Stock
2025-09-19,PRD0009,ST001,198,44,In Stock
2025-10-02,PRD0051,ST003,134,29,In Stock
2025-10-05,PRD0326,ST005,79,34,In Stock
2025-12-18,PRD0169,ST003,18,14,In Stock
2025-04-03,PRD0142,ST006,44,19,In Stock
2025-11-03,PRD0211,ST001,108,49,In Stock
2025-02-12,PRD0128,ST005,46,17,In Stock
2025-08-31,PRD0082,ST006,197,49,In Stock
2025-06-10,PRD0074,ST006,19,45,Low Stock
2025-07-30,PRD0221,ST004,132,19,In Stock
2025-04-19,PRD0298,ST004,123,30,In Stock
2025-08-09,PRD0233,ST004,181,33,In Stock
2025-10-27,PRD0149,ST006,227,45,In Stock
2025-07-23,PRD0115,ST004,142,40,In Stock
2025-11-25,PRD0272,ST003,85,47,In Stock
2025-08-16,PRD0057,ST001,197,43,In Stock
2025-11-14,PRD0247,ST006,33,28,In Stock
2025-09-23,PRD0059,ST005,187,38,In Stock
2025-01-10,PRD0222,ST002,55,40,In Stock
2025-11-19,PRD0276,ST004,66,38,In Stock
2025-03-20,PRD0211,ST004,184,23,In Stock
2025-03-26,PRD0198,ST006,132,17,In Stock
2025-04-30,PRD0214,ST001,86,49,In Stock
2025-04-24,PRD0205,ST003,12,40,Low Stock
2025-12-21,PRD0201,ST002,11,50,Low Stock
2025-04-01,PRD0276,ST002,243,11,In Stock
2025-09-04,PRD0158,ST006,150,30,In Stock
2025-12-30,PRD0316,ST004,46,27,In Stock
2025-02-15,PRD0329,ST002,235,19,In Stock
2025-05-24,PRD0176,ST005,235,16,In Stock
2025-03-08,PRD0123,ST006,209,14,In Stock
2025-05-27,PRD0043,ST003,43,15,In Stock
2025-06-29,PRD0267,ST002,87,26,In Stock
2025-06-25,PRD0061,ST003,56,29,In Stock
2025-04-22,PRD0278,ST002,88,13,In Stock
2025-01-29,PRD0270,ST006,97,48,In Stock
2025-10-29,PRD0065,ST001,89,14,In Stock
2025-01-31,PRD0099,ST003,177,14,In Stock
2025-07-04,PRD0304,ST003,192,49,In Stock
2025-12-03,PRD0071,ST006,139,22,In Stock
2025-05-25,PRD0297,ST003,38,43,Low Stock
2025-05-07,PRD0181,ST002,113,13,In Stock
