transaction_id,transaction_date,store_id,product_id,customer_id,quantity,unit_price,payment_method,sales_channel
TXN000001,2025-03-18 13:15:00,ST005,PRD0028,CUST0574,2,9297.13,Mobile Wallet,Physical Store
TXN000002,2025-04-18 19:05:00,ST005,PRD0241,CUST0133,2,5942.64,Mobile Wallet,Physical Store
TXN000003,2025-11-27 20:32:00,ST004,PRD0192,CUST1022,5,812.19,Card,Physical Store
TXN000004,2025-06-14 19:23:00,ST004,PRD0270,CUST0990,4,18277.44,Online,Physical Store
TXN000005,2025-10-25 14:40:00,ST002,PRD0299,CUST0075,2,8975.12,Card,Physical Store
TXN000006,2025-08-20 21:15:00,ST004,PRD0203,CUST0448,3,10598.59,Mobile Wallet,Physical Store
TXN000007,2025-10-20 10:59:00,ST001,PRD0192,CUST0522,5,812.19,Card,Physical Store
TXN000008,2025-02-13 12:28:00,ST005,PRD0266,CUST0721,2,8348.44,Cash,Physical Store
TXN000009,2025-08-27 16:39:00,ST004,PRD0173,CUST0873,4,8871.76,Mobile Wallet,Physical Store
TXN000010,2025-07-29 13:51:00,ST004,PRD0255,CUST0650,3,5769.03,Cash,Physical Store
TXN000011,2025-04-02 15:14:00,ST001,PRD0136,CUST0156,3,12055.78,Online,Physical Store
TXN000012,2025-09-14 16:34:00,ST002,PRD0330,CUST0161,3,17208.76,Cash,Physical Store
TXN000013,2025-03-02 09:23:00,ST002,PRD0020,CUST0411,3,18682.24,Online,Physical Store
TXN000014,2025-05-09 12:47:00,ST002,PRD0141,CUST0391,5,11741.07,Online,Physical Store
TXN000015,2025-01-05 20:19:00,ST004,PRD0145,CUST0710,4,10608.78,Cash,Physical Store
TXN000016,2025-08-30 18:32:00,ST002,PRD0077,CUST0815,2,22335.09,Card,Physical Store
TXN000017,2025-08-31 11:33:00,ST003,PRD0301,CUST0960,4,16353.38,Cash,Physical Store
TXN000018,2025-06-10 21:12:00,ST004,PRD0220,CUST0856,2,11025.69,Mobile Wallet,Physical Store
TXN000019,2025-10-13 08:23:00,ST006,PRD0072,CUST0263,3,21910.16,Cash,Physical Store
TXN000020,2025-09-13 20:42:00,ST004,PRD0182,CUST0696,2,19280.03,Mobile Wallet,Physical Store
TXN000021,2025-12-18 20:25:00,ST005,PRD0276,CUST0614,3,21897.23,Cash,Physical Store
TXN000022,2025-10-18 20:02:00,ST005,PRD0072,CUST0315,3,21910.16,Mobile Wallet,Physical Store
TXN000023,2025-07-15 11:25:00,ST004,PRD0033,CUST0792,2,21125.63,Cash,Physical Store
TXN000024,2025-06-18 17:28:00,ST002,PRD0328,CUST0624,1,8691.06,Cash,Physical Store
TXN000025,2025-12-12 16:11:00,ST002,PRD0017,CUST1001,1,13431.35,Card,Physical Store
TXN000026,2025-02-05 14:18:00,ST006,PRD0106,CUST0478,3,11908.0,Cash,Physical Store
TXN000027,2025-08-21 08:23:00,ST003,PRD0266,CUST0023,2,8348.44,Mobile Wallet,Physical Store
TXN000028,2025-07-20 10:07:00,ST006,PRD0067,CUST0857,4,2993.21,Cash,Physical Store
TXN000029,2025-07-19 21:13:00,ST004,PRD0067,CUST0422,3,2993.21,Mobile Wallet,Physical Store
TXN000030,2025-03-23 17:36:00,ST006,PRD0159,CUST0416,5,2977.17,Mobile Wallet,Physical Store
TXN000031,2025-05-22 11:00:00,ST004,PRD0074,CUST0913,1,11205.61,Card,Physical Store
TXN000032,2025-09-27 13:58:00,ST004,PRD0292,CUST1006,4,7767.01,Cash,Physical Store
TXN000033,2025-02-16 12:41:00,ST004,PRD0234,CUST0711,3,15054.11,Card,Physical Store
TXN000034,2025-08-01 11:11:00,ST004,PRD0317,CUST0885,4,13310.61,Card,Physical Store
TXN000035,2025-12-24 17:06:00,ST002,PRD0202,CUST0090,2,17402.33,Online,Physical Store
TXN000036,2025-11-18 16:18:00,ST004,PRD0035,CUST0445,4,12242.79,Cash,Physical Store
TXN000037,2025-07-08 09:48:00,ST004,PRD0054,CUST1034,3,3904.5,Mobile Wallet,Physical Store
TXN000038,2025-03-26 12:13:00,ST001,PRD0260,CUST0092,4,9674.14,Cash,Physical Store
TXN000039,2025-11-24 19:43:00,ST006,PRD0237,CUST0781,3,1672.14,Mobile Wallet,Physical Store
TXN000040,2025-04-10 14:02:00,ST006,PRD0006,CUST0514,1,13477.68,Card,Physical Store
TXN000041,2025-06-17 18:47:00,ST001,PRD0238,CUST0993,4,15120.33,Cash,Physical Store
TXN000042,2025-10-08 18:15:00,ST003,PRD0225,CUST0288,4,15148.9,Card,Physical Store
TXN000043,2025-03-29 21:01:00,ST003,PRD0311,CUST0206,2,4148.18,Cash,Physical Store
TXN000044,2025-10-01 19:25:00,ST006,PRD0087,CUST0159,1,901.59,Online,Physical Store
TXN000045,2025-03-20 15:22:00,ST006,PRD0092,CUST0444,1,22187.45,Card,Physical Store
TXN000046,2025-08-15 19:03:00,ST006,PRD0326,CUST0211,4,8972.53,Online,Physical Store
TXN000047,2025-08-16 08:38:00,ST002,PRD0003,CUST0100,4,7463.9,Card,Physical Store
TXN000048,2025-07-11 11:12:00,ST001,PRD0047,CUST0033,4,5346.17,Cash,Physical Store
TXN000049,2025-06-22 21:12:00,ST006,PRD0033,CUST0452,1,21125.63,Card,Physical Store
TXN000050,2025-03-27 08:26:00,ST003,PRD0263,CUST0221,3,3550.61,Card,Physical Store
