product_id,product_name,category,brand,unit_cost,selling_price,supplier_id
PRD0001,Wireless Mouse 1,Electronics,UrbanLife,9645.49,11200.87,SUP004
PRD0002,Wireless Mouse 2,Electronics,LankaPlus,3464.68,5132.62,SUP010
PRD0003,Wireless Mouse 3,Electronics,Prime,6415.54,7463.9,SUP004
PRD0004,Wireless Mouse 4,Electronics,Prime,7654.53,8894.11,SUP012
PRD0005,Wireless Mouse 5,Electronics,Prime,9800.78,13674.28,SUP008
PRD0006,Wireless Mouse 6,Electronics,Nova,8900.6,13477.68,SUP003
PRD0007,Bluetooth Speaker 1,Electronics,SmartChoice,10517.37,13705.32,SUP004
PRD0008,Bluetooth Speaker 2,Electronics,LankaPlus,14364.61,18695.07,SUP007
PRD0009,Bluetooth Speaker 3,Electronics,UrbanLife,1586.24,2429.12,SUP001
PRD0010,Bluetooth Speaker 4,Electronics,ProMax,10986.52,15285.57,SUP002
PRD0011,Bluetooth Speaker 5,Electronics,EverBest,8347.8,12715.64,SUP010
PRD0012,Bluetooth Speaker 6,Electronics,Prime,3005.49,3550.38,SUP005
PRD0013,USB Cable 1,Electronics,LankaPlus,14780.54,22686.55,SUP007
PRD0014,USB Cable 2,Electronics,EverBest,4277.91,6143.33,SUP003
PRD0015,USB Cable 3,Electronics,UrbanLife,5647.19,7026.68,SUP012
PRD0016,USB Cable 4,Electronics,SmartChoice,14059.32,20268.14,SUP009
PRD0017,USB Cable 5,Electronics,ProMax,10977.53,13431.35,SUP005
PRD0018,USB Cable 6,Electronics,Prime,14844.42,21346.27,SUP011
PRD0019,Power Bank 1,Electronics,Nova,4965.6,7427.25,SUP004
PRD0020,Power Bank 2,Electronics,ProMax,12353.77,18682.24,SUP005
PRD0021,Power Bank 3,Electronics,EverBest,1132.9,1768.36,SUP004
PRD0022,Power Bank 4,Electronics,DailyMart,9883.26,13125.31,SUP003
PRD0023,Power Bank 5,Electronics,UrbanLife,4083.47,5149.18,SUP012
PRD0024,Power Bank 6,Electronics,ProMax,8831.1,13723.71,SUP006
PRD0025,Keyboard 1,Electronics,DailyMart,3406.91,5447.28,SUP002
PRD0026,Keyboard 2,Electronics,SmartChoice,11373.37,17486.51,SUP011
PRD0027,Keyboard 3,Electronics,LankaPlus,2525.73,3678.01,SUP007
PRD0028,Keyboard 4,Electronics,UrbanLife,5817.05,9297.13,SUP009
PRD0029,Keyboard 5,Electronics,LankaPlus,12932.58,14939.28,SUP011
PRD0030,Keyboard 6,Electronics,EverBest,13289.11,19772.8,SUP002
PRD0031,Headphones 1,Electronics,Nova,4508.48,5505.62,SUP012
